sample_id,longitude,latitude
VBS96945,34.183,0.034
VBS96947,34.183,0.034
VBS96948,34.183,0.034
VBS96949,34.183,0.034
VBS96950,34.183,0.034
VBS96952,34.183,0.034
VBS96953,34.183,0.034
VBS96954,34.189,0.072
VBS96955,34.189,0.072
VBS96956,34.189,0.072
VBS96957,34.189,0.072
VBS96958,34.189,0.072
VBS96959,34.189,0.072
VBS96960,34.189,0.072
VBS96961,34.189,0.072
VBS96962,34.189,0.072
VBS96963,34.189,0.072
VBS96964,34.189,0.072
VBS96965,34.189,0.072
VBS96968,34.178,0.027
VBS96969,34.178,0.027
VBS96970,34.178,0.027
VBS96971,34.178,0.027
VBS96973,34.178,0.027
VBS96974,34.178,0.027
VBS96975,34.183,0.034
VBS96976,34.183,0.034
VBS96977,34.178,0.027
VBS96978,34.178,0.027
VBS96979,34.178,0.027
VBS96980,34.178,0.027
VBS96981,34.178,0.027
VBS96982,34.178,0.027
VBS96983,34.178,0.027
VBS96984,34.183,0.034
VBS96985,34.183,0.034
VBS96986,34.183,0.034
VBS96987,34.183,0.034
VBS96988,34.183,0.034
VBS96989,34.178,0.027
VBS96990,34.178,0.027
VBS96991,34.183,0.034
VBS96992,34.183,0.034
VBS96993,34.183,0.034
VBS96994,34.183,0.034
VBS96995,34.183,0.034
VBS96997,34.183,0.034
VBS96998,34.178,0.027
VBS96999,34.178,0.027
VBS97000,34.178,0.027
VBS97001,34.178,0.027
VBS97002,34.178,0.027
VBS97003,34.178,0.027
VBS97004,34.178,0.027
VBS97005,34.183,0.034
VBS97006,34.183,0.034
VBS97007,34.183,0.034
VBS97008,34.178,0.027
VBS97009,34.178,0.027
VBS97010,34.178,0.027
VBS97011,34.178,0.027
VBS97012,34.178,0.027
VBS97013,34.178,0.027
VBS97014,34.178,0.027
VBS97015,34.178,0.027
VBS97016,34.178,0.027
VBS97017,34.178,0.027
VBS97018,34.178,0.027
VBS97019,34.178,0.027
VBS97020,34.178,0.027
VBS97021,34.178,0.027
VBS97022,34.178,0.027
VBS97023,34.178,0.027
VBS97024,34.178,0.027
VBS97025,34.178,0.027
VBS97026,34.178,0.027
VBS97027,34.178,0.027
VBS97028,34.178,0.027
VBS97029,34.178,0.027
VBS97030,34.178,0.027
VBS97031,34.178,0.027
VBS97032,34.178,0.027
VBS97034,34.178,0.027
VBS97036,34.178,0.027
VBS97037,34.178,0.027
VBS97038,34.178,0.027
VBS97039,34.178,0.027
VBS97040,34.178,0.027
VBS97041,34.178,0.027
VBS97042,34.178,0.027
VBS97044,34.178,0.027
VBS97045,34.178,0.027
VBS97046,34.178,0.027
VBS97047,34.178,0.027
VBS97048,34.183,0.034
VBS97049,34.183,0.034
VBS97050,34.183,0.034
VBS97051,34.178,0.027
VBS97052,34.178,0.027
VBS97053,34.178,0.027
VBS97054,34.178,0.027
VBS97055,34.178,0.027
VBS97056,34.178,0.027
VBS97057,34.178,0.027
VBS97058,34.178,0.027
VBS97059,34.178,0.027
VBS97060,34.178,0.027
VBS97061,34.178,0.027
VBS97062,34.178,0.027
VBS97063,34.178,0.027
VBS97064,34.178,0.027
VBS97065,34.178,0.027
VBS97066,34.178,0.027
VBS97067,34.178,0.027
VBS97068,34.178,0.027
VBS97069,34.178,0.027
VBS97070,34.178,0.027
VBS97071,34.178,0.027
VBS97072,34.178,0.027
VBS97073,34.178,0.027
VBS97074,34.178,0.027
VBS97075,34.178,0.027
VBS97076,34.178,0.027
VBS97077,34.178,0.027
VBS97078,34.178,0.027
VBS97079,34.178,0.027
VBS97080,34.178,0.027
VBS97081,34.178,0.027
VBS97082,34.178,0.027
VBS97083,34.178,0.027
VBS97084,34.178,0.027
VBS97085,34.178,0.027
VBS97086,34.178,0.027
VBS97087,34.178,0.027
VBS97088,34.178,0.027
VBS97089,34.178,0.027
VBS97090,34.178,0.027
VBS97091,34.178,0.027
VBS97092,34.178,0.027
VBS97093,34.178,0.027
VBS97094,34.178,0.027
VBS97095,34.178,0.027
VBS97096,34.178,0.027
VBS97097,34.178,0.027
VBS97098,34.178,0.027
VBS97099,34.178,0.027
VBS97100,34.178,0.027
VBS97101,34.178,0.027
VBS97102,34.178,0.027
VBS97103,34.183,0.034
VBS97104,34.183,0.034
VBS97105,34.183,0.034
VBS97106,34.178,0.027
VBS97107,34.178,0.027
VBS97108,34.178,0.027
VBS97109,34.178,0.027
VBS97110,34.178,0.027
VBS97111,34.178,0.027
VBS97112,34.178,0.027
VBS97113,34.178,0.027
VBS97114,34.178,0.027
VBS97115,34.189,0.072
VBS97116,34.189,0.072
VBS97117,34.189,0.072
VBS97118,34.189,0.072
VBS97119,34.189,0.072
VBS97120,34.189,0.072
VBS97121,34.189,0.072
VBS97122,34.189,0.072
VBS97123,34.189,0.072
VBS97124,34.189,0.072
VBS97125,34.189,0.072
VBS97126,34.189,0.072
VBS97127,34.189,0.072
VBS97128,34.189,0.072
VBS97129,34.189,0.072
VBS97130,34.189,0.072
VBS97131,34.189,0.072
VBS97132,34.189,0.072
VBS97133,34.189,0.072
VBS97134,34.189,0.072
VBS97135,34.189,0.072
VBS97137,34.178,0.027
VBS97138,34.178,0.027
VBS97139,34.178,0.027
VBS97141,34.178,0.027
VBS97142,34.178,0.027
VBS97143,34.178,0.027
VBS97144,34.178,0.027
VBS97145,34.178,0.027
VBS97146,34.178,0.027
VBS97147,34.178,0.027
VBS97148,34.178,0.027
VBS97149,34.178,0.027
VBS97150,34.178,0.027
VBS97151,34.178,0.027
VBS97152,34.178,0.027
VBS97153,34.178,0.027
VBS97154,34.178,0.027
VBS97155,34.178,0.027
VBS97156,34.178,0.027
VBS97158,34.178,0.027
VBS97159,34.183,0.034
VBS97160,34.183,0.034
VBS97161,34.183,0.034
VBS97162,34.183,0.034
VBS97163,34.183,0.034
