lon,lat,n_samples
3.687800000000000011e+01,4.753000000000000114e+00,0.000000000000000000e+00
3.710399999999999920e+01,4.362000000000000099e+00,0.000000000000000000e+00
3.665299999999999869e+01,4.362000000000000099e+00,0.000000000000000000e+00
3.777900000000000347e+01,4.753000000000000114e+00,0.000000000000000000e+00
3.530199999999999960e+01,-5.000000000000000000e+00,0.000000000000000000e+00
3.575200000000000244e+01,-5.000000000000000000e+00,0.000000000000000000e+00
3.642799999999999727e+01,4.753000000000000114e+00,0.000000000000000000e+00
3.552700000000000102e+01,4.753000000000000114e+00,0.000000000000000000e+00
3.822999999999999687e+01,4.753000000000000114e+00,0.000000000000000000e+00
3.867999999999999972e+01,4.753000000000000114e+00,0.000000000000000000e+00
3.350000000000000000e+01,-3.439999999999999947e+00,0.000000000000000000e+00
3.372500000000000142e+01,-3.048999999999999932e+00,0.000000000000000000e+00
3.845499999999999829e+01,-2.658999999999999808e+00,0.000000000000000000e+00
3.822999999999999687e+01,-3.048999999999999932e+00,0.000000000000000000e+00
3.800399999999999778e+01,-2.658999999999999808e+00,0.000000000000000000e+00
3.822999999999999687e+01,-2.269000000000000128e+00,0.000000000000000000e+00
4.048199999999999932e+01,-3.048999999999999932e+00,0.000000000000000000e+00
4.070700000000000074e+01,-2.658999999999999808e+00,0.000000000000000000e+00
4.093200000000000216e+01,-3.048999999999999932e+00,0.000000000000000000e+00
3.350000000000000000e+01,4.362000000000000099e+00,0.000000000000000000e+00
3.372500000000000142e+01,3.971999999999999975e+00,0.000000000000000000e+00
3.395000000000000284e+01,4.362000000000000099e+00,0.000000000000000000e+00
3.755400000000000205e+01,4.362000000000000099e+00,0.000000000000000000e+00
3.800399999999999778e+01,4.362000000000000099e+00,0.000000000000000000e+00
3.777900000000000347e+01,3.971999999999999975e+00,0.000000000000000000e+00
3.732900000000000063e+01,4.753000000000000114e+00,0.000000000000000000e+00
3.597699999999999676e+01,4.753000000000000114e+00,0.000000000000000000e+00
3.507699999999999818e+01,4.753000000000000114e+00,0.000000000000000000e+00
3.800399999999999778e+01,-1.098999999999999977e+00,0.000000000000000000e+00
3.777900000000000347e+01,-1.489000000000000101e+00,0.000000000000000000e+00
3.755400000000000205e+01,-1.098999999999999977e+00,0.000000000000000000e+00
3.777900000000000347e+01,-7.089999999999999636e-01,0.000000000000000000e+00
